way_id,node_id,lat,lon,h3_12
11008548,98208070,28.8219989,-81.702057,8c44a934c5a0dff
11008548,6829701381,28.8219899,-81.7036537,8c44a934c515dff
11008548,2087858124,28.8219871,-81.7041391,8c44a934c5065ff
11008548,2087858122,28.8219817,-81.7050765,8c44a934c5237ff
11008548,6829716496,28.8219721,-81.70651,8c44a934ccd33ff
11008548,1599063990,28.8219687,-81.7070807,8c44a934ccdcdff
11008548,98125827,28.8219672,-81.7073263,8c44a934ccdc9ff
11008548,98034323,28.8219676,-81.7075066,8c44a934ccc35ff
11008548,98034325,28.8219586,-81.7100736,8c44a934cc5bdff
83995908,977354888,28.819296,-81.7747513,8c44f4d9a6ecbff
83995908,7200409062,28.8193107,-81.7748065,8c44f4d9a6ecbff
83995908,2088012862,28.8198653,-81.7768849,8c44f4d9a648dff
83995908,98009171,28.8200004,-81.7773508,8c44f4d9a64d7ff
83995908,2088012871,28.8201292,-81.7777747,8c44f4cb49321ff
83995908,2088012873,28.8202671,-81.7782069,8c44f4cb49339ff
83995908,2088012877,28.8204012,-81.7785992,8c44f4cb49311ff
83995908,98025161,28.8205432,-81.779009,8c44f4cb49049ff
83995908,2088012900,28.8207846,-81.7796458,8c44f4cb492edff
83995908,98244156,28.8210514,-81.7803082,8c44f4cb492d5ff
83995908,98244159,28.8210976,-81.780411,8c44f4cb492d1ff
83995908,2088012922,28.8213209,-81.7809285,8c44f4d9a2da9ff
83995908,2088012930,28.8215278,-81.7814286,8c44f4d9a2d9dff
83995908,4144582685,28.8216557,-81.7817446,8c44f4d9a2d9bff
83995908,2088012934,28.8216883,-81.7818252,8c44f4d9a2ca7ff
83995908,2088012955,28.8218734,-81.7823265,8c44f4d9a2cb1ff
83995908,2088012957,28.8221151,-81.7830281,8c44f4d9b5947ff
83995908,4144584795,28.8221467,-81.783126,8c44f4d9b5943ff
83995908,98017404,28.8223466,-81.7837458,8c44f4d9b5867ff
83995908,98009165,28.8226767,-81.7848588,8c44f4d9b5853ff
83995908,98017400,28.823071,-81.7862219,8c44f4d9b51a7ff
83995908,98149838,28.8233439,-81.7871461,8c44f4d9b4245ff
83995908,7488124299,28.8234977,-81.7876843,8c44f4d9b50b7ff
83995908,98163913,28.8236425,-81.7881912,8c44f4d9b5561ff
83995908,8734711659,28.8238315,-81.7888641,8c44f4d9b5555ff
83995908,98134608,28.8239204,-81.7891805,8c44f4d9b555bff
83995908,8734711560,28.8242712,-81.7903739,8c44f4d9b56a5ff
83995908,8734711558,28.8242951,-81.7904552,8c44f4d9b56a1ff
83995908,98232649,28.8245083,-81.7911804,8c44f4d9b5695ff
83995908,6125916835,28.8247378,-81.7919625,8c44f4d9b19b5ff
83995908,6125916832,28.8249894,-81.7928197,8c44f4d9b0a47ff
83995908,98015137,28.8255405,-81.7946977,8c44f4d9b002dff
140354286,98122512,28.8253659,-81.7946665,8c44f4d9b015bff
140354286,8509838930,28.8250926,-81.7937361,8c44f4d9b0161ff
140354286,7065270810,28.8249968,-81.7934099,8c44f4d9b18b3ff
140354286,7065270811,28.8248309,-81.7928451,8c44f4d9b0a41ff
140354286,7065270813,28.8246735,-81.7923093,8c44f4d9b19bbff
140354286,7065270807,28.8245534,-81.7919006,8c44f4d9b19a3ff
140354286,98232651,28.8243576,-81.791234,8c44f4d9b569dff
140354286,6930938074,28.8240336,-81.7901304,8c44f4d9b5457ff
140354286,2088012984,28.8238598,-81.7895386,8c44f4d9b5463ff
140354286,98168271,28.8238294,-81.7894349,8c44f4d9b5463ff
140354286,7248986136,28.8236787,-81.7889206,8c44f4d9b555dff
140354286,7248986139,28.8235913,-81.7886222,8c44f4d9b5541ff
140354286,98106432,28.823388,-81.7879281,8c44f4d9b50b3ff
140354286,6931065190,28.8231766,-81.7872228,8c44f4d9b519bff
140354286,98149835,28.8231564,-81.7871554,8c44f4d9b519bff
140354286,98159840,28.8229779,-81.7865455,8c44f4d9b51bdff
140354286,98009164,28.8224964,-81.78489,8c44f4d9b585bff
140354286,6857295278,28.8223492,-81.7843924,8c44f4d9b5843ff
140354286,98032183,28.822319,-81.784279,8c44f4d9b5847ff
140354286,98020485,28.8222323,-81.7839823,8c44f4d9b5861ff
140354286,98177890,28.822069,-81.7834586,8c44f4d9b5b37ff
140354286,98177833,28.8218183,-81.7827039,8c44f4d9a2c97ff
140354286,2088012932,28.8215967,-81.7820904,8c44f4d9a2ca3ff
140354286,2088012926,28.8213729,-81.7815148,8c44f4d9a2dd7ff
140354286,2088012908,28.8211557,-81.7809964,8c44f4d9a2de3ff
140354286,98244495,28.8209203,-81.7804598,8c44f4cb492d9ff
140354286,2088012898,28.8207043,-81.7799282,8c44f4cb492c5ff
140354286,2088012879,28.8204824,-81.7793505,8c44f4cb49231ff
140354286,2088012875,28.8202907,-81.778831,8c44f4cb49225ff
140354286,98173830,28.8200972,-81.7782589,8c44f4cb49301ff
140354286,2088012867,28.8199403,-81.7777672,8c44f4cb49367ff
140354286,2088012844,28.8198298,-81.7774006,8c44f4d9a64d1ff
140354286,2088012841,28.8197168,-81.7770107,8c44f4d9a64c7ff
140354286,98217954,28.8187901,-81.7735106,8c44f4d9a6e21ff
140354286,1422624925,28.818151,-81.7710972,8c44f4d9a68e1ff
